system:index,area_km2,band,class,class_name,.geo
8_0_3,4424.099669910804,classification_1993,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_4,10567.704145426223,classification_1993,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_5,26.20769759100333,classification_1993,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_6,26.33466424456789,classification_1993,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_7,451.26359691394185,classification_1993,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_8,0.13316355407714847,classification_1993,27,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_9,109.06018410399615,classification_1993,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_10,6.094826148986821,classification_1993,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_11,108.62030003024498,classification_1993,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_12,24.159716321170997,classification_1993,34,Glacier,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_13,37.068847893799195,classification_1993,68,Other natural non-vegetated area,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_0,7197.163601281908,classification_1994,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_1,66.63460530273473,classification_1994,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_2,20.88703405340563,classification_1994,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_3,4375.269274260844,classification_1994,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_4,10661.068341510363,classification_1994,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_5,25.192964303283617,classification_1994,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_6,26.354232849792503,classification_1994,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_7,452.9182083079846,classification_1994,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_8,0.13316355407714847,classification_1994,27,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_9,113.00871286534591,classification_1994,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_10,6.9256534324340855,classification_1994,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_11,105.62086961020067,classification_1994,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_12,24.159716321170997,classification_1994,34,Glacier,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_13,37.02107303521692,classification_1994,68,Other natural non-vegetated area,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_0,7237.925671908273,classification_1995,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_1,72.86706908843973,classification_1995,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_2,21.315618907470665,classification_1995,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_3,4327.211010117106,classification_1995,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_4,10687.245498489665,classification_1995,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_5,26.521288849121046,classification_1995,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_6,26.404938759948745,classification_1995,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_7,435.6753040947283,classification_1995,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_8,0.13316355407714847,classification_1995,27,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_9,110.02877936839971,classification_1995,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_10,8.640822043151847,classification_1995,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_11,104.0145544589045,classification_1995,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_12,24.159716321170997,classification_1995,34,Glacier,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_13,30.214014728454895,classification_1995,68,Other natural non-vegetated area,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_0,7241.483341332908,classification_1996,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_1,70.62967067694088,classification_1996,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_2,20.698523350341794,classification_1996,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_3,8.874710083007812E-4,classification_1996,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_4,4293.866425527943,classification_1996,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
